task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
63	11/c5f6e4	79660	DeepSignal (MB4000K)	COMPLETED	0	2021-04-17 18:53:09.581	1h 26m 20s	1h 21m 6s	769.0%	9.2 GB	19.4 GB	7.8 GB	2.3 GB
67	ae/bb589c	79663	DeepSignal (MB5600K)	COMPLETED	0	2021-04-17 19:06:39.608	1h 38m 50s	1h 38m 23s	776.4%	10.3 GB	21 GB	9.8 GB	3.3 GB
70	10/e7750b	79665	DeepSignal (MB6400K)	COMPLETED	0	2021-04-17 19:07:49.600	1h 45m 20s	1h 45m	786.9%	10.7 GB	21.5 GB	10.4 GB	3.6 GB
72	ef/6dfca5	79667	DeepSignal (MB7200K)	COMPLETED	0	2021-04-17 19:13:09.609	1h 48m 40s	1h 48m 30s	769.9%	11.3 GB	22.1 GB	11.5 GB	4.2 GB
31	d6/1769f5	79627	DeepMod (MB2400K)	COMPLETED	0	2021-04-17 18:33:54.892	2h 42m 35s	2h 42m 8s	713.2%	27.7 GB	39 GB	27.1 GB	9.3 GB
34	69/779323	79630	DeepMod (MB3200K)	COMPLETED	0	2021-04-17 18:34:25.198	2h 44m 55s	2h 44m 24s	752.4%	29.3 GB	42.5 GB	36.2 GB	12.5 GB
74	e3/067c33	79670	DeepSignal (MB8000K)	COMPLETED	0	2021-04-17 19:24:59.632	2h 3m 30s	2h 3m 20s	771.2%	11.9 GB	22.5 GB	12.4 GB	4.6 GB
77	4f/4e625f	79673	DpSigCombine	COMPLETED	0	2021-04-17 21:28:29.950	39.9s	2.2s	17.8%	6 MB	220.3 MB	600.7 MB	600.6 MB
35	57/acff4f	79631	DeepMod (MB4000K)	COMPLETED	0	2021-04-17 18:34:45.173	3h 6m 30s	3h 6m 17s	750.9%	38.2 GB	53.6 GB	36.7 GB	12.8 GB
38	55/034820	79635	DeepMod (MB4800K)	COMPLETED	0	2021-04-17 18:35:21.325	3h 51m 54s	3h 50m 53s	767.6%	47.1 GB	67.6 GB	45.7 GB	15.9 GB
44	b3/6a8855	79641	DeepMod (MB6400K)	COMPLETED	0	2021-04-17 18:36:03.433	4h 14m 2s	4h 12m 4s	789.9%	66.9 GB	94.8 GB	63.5 GB	22.1 GB
41	7e/9e899f	79637	DeepMod (MB5600K)	COMPLETED	0	2021-04-17 18:35:47.529	4h 25m 3s	4h 24m 21s	774.9%	62.5 GB	87.7 GB	54.7 GB	19.1 GB
49	13/8cd21d	79645	DeepMod (MB7200K)	COMPLETED	0	2021-04-17 18:36:29.174	5h 17m 46s	5h 13m 45s	785.5%	75.7 GB	107.9 GB	72.6 GB	25.2 GB
50	41/7792a8	79646	DeepMod (MB8000K)	COMPLETED	0	2021-04-17 18:36:48.009	5h 41m 57s	5h 36m 22s	796.6%	87.1 GB	124.5 GB	72.9 GB	25.5 GB
78	4f/a82320	79674	DpmodCombine	COMPLETED	0	2021-04-18 00:18:45.343	4m 10s	3m 47s	309.8%	12.4 GB	17.2 GB	20.1 GB	11.3 GB
